|servicio|fecha_servicio|anio|empresa|pais_empresa|mes|llave
0|agenda_comercial_de_turismo|2017-01-01|2017|0018000000Oya0E|ecuador|01|2017-01
1|agenda_comercial_de_turismo|2017-01-01|2017|0018000000Oya0F|ecuador|01|2017-01
2|agenda_comercial_de_turismo|2017-01-01|2017|0018000000OyZxF|ecuador|01|2017-01
3|agenda_comercial_de_turismo|2017-01-01|2017|0018000000SeLHv|ecuador|01|2017-01
4|agenda_comercial_de_turismo|2017-01-01|2017|0018000000Uhu4R|ecuador|01|2017-01
5|agenda_comercial_de_turismo|2017-01-01|2017|0018000000UhuI2|ecuador|01|2017-01
6|agenda_comercial_de_turismo|2017-01-01|2017|0018000000UhuI3|ecuador|01|2017-01
7|agenda_comercial_de_turismo|2017-01-01|2017|001C000000qP6NW|ecuador|01|2017-01
8|agenda_comercial_de_turismo|2017-01-01|2017|001C000000sXIpl|ecuador|01|2017-01
9|agenda_comercial_de_turismo|2017-01-01|2017|001C000000vDAvo|ecuador|01|2017-01
10|agenda_comercial_de_turismo|2017-01-01|2017|001C000000znL9q|colombia|01|2017-01
11|agenda_comercial_de_turismo|2017-01-01|2017|001C00000158yUq|ecuador|01|2017-01
12|agenda_comercial_de_turismo|2017-01-01|2017|001C000001bhZlK|paraguay|01|2017-01
13|agenda_comercial_de_turismo|2017-01-01|2017|001C000001BzXKM|paraguay|01|2017-01
14|agenda_comercial_de_turismo|2017-01-01|2017|001C000001C0fEh|paraguay|01|2017-01
15|agenda_comercial_de_turismo|2017-01-01|2017|001C000001C0m9k|paraguay|01|2017-01
16|agenda_comercial_de_turismo|2017-01-01|2017|001C000001CMhNH|paraguay|01|2017-01
17|agenda_comercial_de_turismo|2017-01-01|2017|001C000001CQ82W|ecuador|01|2017-01
18|agenda_comercial_de_turismo|2017-01-01|2017|001C000001CQ8G4|ecuador|01|2017-01
19|agenda_comercial_de_turismo|2017-01-01|2017|001C000001CQ9FH|ecuador|01|2017-01
20|agenda_comercial_de_turismo|2017-01-01|2017|001C000001FZXON|paraguay|01|2017-01
21|agenda_comercial_de_turismo|2017-01-01|2017|001C000001FZXot|paraguay|01|2017-01
22|agenda_comercial_de_turismo|2017-01-01|2017|001C000001OipTs|ecuador|01|2017-01
23|agenda_comercial_de_turismo|2017-01-01|2017|001C000001XOYPf|paraguay|01|2017-01
24|agenda_comercial_de_turismo|2017-01-16|2017|0018000000OkUc6|canada|01|2017-01
25|agenda_comercial_de_turismo|2017-01-16|2017|001C000000xQrzU|canada|01|2017-01
26|agenda_comercial_de_turismo|2017-01-16|2017|001C0000019jmSx|canada|01|2017-01
27|agenda_comercial_de_turismo|2017-01-16|2017|001C000001JAYRp|canada|01|2017-01
28|agenda_comercial_de_turismo|2017-01-16|2017|001C000001W6LEF|canada|01|2017-01
29|agenda_comercial_de_turismo|2017-01-20|2017|0018000000OTh9q|colombia|01|2017-01
30|agenda_comercial_de_turismo|2017-01-23|2017|0018000000Oya0F|ecuador|01|2017-01
31|agenda_comercial_de_turismo|2017-01-23|2017|001C000000vDAvo|ecuador|01|2017-01
32|agenda_comercial_de_turismo|2017-01-23|2017|001C000000znL9q|colombia|01|2017-01
33|agenda_comercial_de_turismo|2017-02-21|2017|0018000000OCTCN|colombia|02|2017-02
34|agenda_comercial_de_turismo|2017-02-21|2017|0018000000Oya0E|ecuador|02|2017-02
35|agenda_comercial_de_turismo|2017-02-21|2017|0018000000UhuI2|ecuador|02|2017-02
36|agenda_comercial_de_turismo|2017-02-21|2017|001C000000sXIpl|ecuador|02|2017-02
37|agenda_comercial_de_turismo|2017-02-21|2017|001C000000vDAvo|ecuador|02|2017-02
38|agenda_comercial_de_turismo|2017-02-21|2017|001C000001CQ8TR|ecuador|02|2017-02
39|agenda_comercial_de_turismo|2017-02-22|2017|0018000000Oya0F|ecuador|02|2017-02
40|agenda_comercial_de_turismo|2017-02-22|2017|0018000000OyZxG|ecuador|02|2017-02
41|agenda_comercial_de_turismo|2017-02-22|2017|001C000001CQ82W|ecuador|02|2017-02
42|agenda_comercial_de_turismo|2017-02-22|2017|001C000001CQ8G4|ecuador|02|2017-02
43|agenda_comercial_de_turismo|2017-02-22|2017|001C000001OipTs|ecuador|02|2017-02
44|agenda_comercial_de_turismo|2017-02-23|2017|0018000000OyZwp|ecuador|02|2017-02
