llave|pais|cantidad_ciudades|pasajeros|educacion|eventos|negocios|otros|religion|salud|sin_motivo|transito|vacaciones|hub|x1|x2|x3|x4|x5|x6|x7|x8|x9|trm|estaciones|ipc|carnavales|holiday
2017-01|alemania|89|5190|13.0|11.0|21.0|28.0|1.0|5.0|0|1.0|76.0|europa|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|12.0|2941.3993548387098|0.0|1.02|1.0|1.0
2017-02|alemania|87|6101|8.0|11.0|17.0|22.0|0.0|2.0|0|2.0|76.0|europa|0.0|0.0|0.0|1.0|2.0|0.0|0.0|1.0|0.0|2879.5667857142857|0.0|1.01|1.0|0.0
2017-03|alemania|92|6324|5.0|9.0|19.0|16.0|0.0|3.0|0|1.0|86.0|europa|0.0|0.0|0.0|0.0|13.0|8.0|13.0|0.0|0.0|2942.286129032258|2.0|0.47|0.0|1.0
2017-04|alemania|97|4780|7.0|9.0|20.0|18.0|0.0|3.0|0|0.0|86.0|europa|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2877.8216666666663|2.0|0.47|1.0|2.0
2017-05|alemania|73|3832|14.0|7.0|22.0|16.0|0.0|2.0|0|0.0|63.0|europa|0.0|0.0|1.0|0.0|0.0|2.0|0.0|0.0|0.0|2923.6129032258063|2.0|0.23|0.0|2.0
2017-06|alemania|85|3772|5.0|8.0|17.0|21.0|0.0|4.0|0|0.0|71.0|europa|0.0|0.0|0.0|6.0|0.0|0.0|0.0|0.0|30.0|2957.0983333333334|3.0|0.11|2.0|2.0
2017-07|alemania|90|5785|12.0|11.0|25.0|27.0|0.0|5.0|0|0.0|83.0|europa|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3036.5838709677423|3.0|-0.05|2.0|2.0
2017-08|alemania|104|6182|21.0|11.0|16.0|30.0|1.0|2.0|0|1.0|88.0|europa|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.0|2973.2048387096775|3.0|0.14|1.0|2.0
2017-09|alemania|82|4550|8.0|12.0|16.0|17.0|2.0|3.0|0|0.0|73.0|europa|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|2917.085|1.0|0.04|0.0|0.0
2017-10|alemania|91|5089|9.0|9.0|22.0|26.0|0.0|5.0|0|0.0|81.0|europa|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|2953.7558064516134|1.0|0.02|0.0|1.0
